variable,type,mean,std,min,25%,50%,75%,max,fill_value
lon,sincos,193.5916324,101.4593894,0.0625,112.9375,198.4375,273.6875,359.9375,
lat,sin,-13.48633582,40.8424076,-78.0625,-48.8125,-21.1875,18.5625,81.4375,
air_density,norm,1.217180399,0.040997643,1.124,1.179,1.22,1.249,1.425,-32767
model_wind_divergence,norm,-3.38E-07,1.81E-05,-0.0005043,-7.20E-06,1.50E-06,8.90E-06,0.0002917,-32767
model_wind_curl,norm,1.63E-07,2.96E-05,-0.000541,-1.03E-05,1.30E-06,1.22E-05,0.0007423,-32767
model_speed,norm,8.102556655,3.654236269,0.03,5.52,7.71,10.32,33.16,-32767
model_dir,sincos,182.4807423,97.63966253,0,97.1,186.8,266.9,359.9,-32767
eastward_model_wind,norm,0,6.887332882,-24.38,-5.31,-0.34,5.8,28.21,-32767
northward_model_wind,norm,0,5.590912065,-27.6,-4.19,-0.49,3.42,24.02,-32767
msl,norm,100796.6649,1471.285086,92555.4911,99959.88962,101211.492,101758.1742,104957.1953,
air_temperature,norm,287.2050133,10.5059557,242.6796945,277.2629678,288.3623556,297.4609141,306.1849574,
q,norm,0.009231423,0.005546238,-1.12E-06,0.004160464,0.007902159,0.014339812,0.023877612,
sst,norm,288.5918637,10.32788797,271.4553223,278.2192383,289.7451172,298.703125,305.0327148,
uo,norm,0,0.208545148,-4.157718658,-0.106211647,0.01149937,0.125181839,7.000520229,
vo,norm,0,0.158026618,-6.223815441,-0.075395629,0.002825493,0.082185268,5.010200024,
current_speed,norm,0.208641311,0.1581953,3.70E-05,0.103497059,0.171825221,0.268455817,7.016975208,
se_model_wind_curl,norm,0,3.00E-05,,,,,,
se_model_wind_divergence,norm,0,2.00E-05,,,,,,
sst_dx,norm,0.00E+00,7.20E-06,,,,,,
sst_dy,norm,0.00E+00,9.00E-06,,,,,,
era5_fc_hour,minmax,,,3,,,,14,
date,sincos,,,,,,,,
